Date,High,Low,Open,Close,Volume,Adj Close
2010-01-04,164.5,155.0,157.5,160.0,430.0,160.0
2010-01-05,162.5,155.0,160.0,162.5,380.0,162.5
2010-01-06,159.0,155.0,157.5,159.0,732.0,159.0
2010-01-07,162.5,152.5,156.0,162.5,818.0,162.5
2010-01-08,164.5,161.0,164.0,164.5,624.0,164.5
2010-01-11,164.5,150.0,164.5,155.5,428.0,155.5
2010-01-12,164.5,155.0,157.5,164.5,420.0,164.5
2010-01-13,165.0,157.5,163.0,162.5,146.0,162.5
2010-01-14,163.5,150.5,150.5,162.5,168.0,162.5
2010-01-15,163.5,157.5,162.5,163.5,244.0,163.5
2010-01-19,163.5,152.5,163.5,155.0,774.0,155.0
2010-01-20,155.0,148.0,152.5,150.0,1762.0,150.0
2010-01-21,152.5,145.0,152.5,147.5,754.0,147.5
2010-01-22,150.0,140.0,149.5,142.0,3344.0,142.0
2010-01-25,144.5,135.0,144.5,140.0,624.0,140.0
2010-01-26,137.5,133.0,135.0,137.5,1162.0,137.5
2010-01-27,139.0,135.0,135.0,137.5,952.0,137.5
2010-01-28,142.5,130.0,139.0,142.5,346.0,142.5
2010-01-29,140.0,135.0,140.0,139.5,100.0,139.5
2010-02-01,140.0,137.5,140.0,139.5,192.0,139.5
2010-02-02,140.5,130.0,137.5,137.5,480.0,137.5
2010-02-03,139.5,132.5,135.0,139.5,380.0,139.5
2010-02-04,140.0,132.5,140.0,139.0,228.0,139.0
2010-02-05,137.5,132.5,135.0,137.5,388.0,137.5
2010-02-08,142.5,137.5,138.5,137.5,384.0,137.5
2010-02-09,137.5,135.0,137.5,137.5,280.0,137.5
2010-02-10,135.5,133.0,135.0,135.0,450.0,135.0
2010-02-11,137.5,133.0,135.0,137.5,382.0,137.5
2010-02-12,137.5,135.0,135.0,137.5,446.0,137.5
2010-02-16,137.5,125.0,135.0,137.5,738.0,137.5
2010-02-17,137.5,132.5,133.5,137.5,188.0,137.5
2010-02-18,137.5,132.5,137.5,137.5,842.0,137.5
2010-02-19,135.0,130.0,132.5,134.5,518.0,134.5
2010-02-22,135.0,130.0,131.0,135.0,628.0,135.0
2010-02-23,135.0,129.0,130.0,135.0,300.0,135.0
2010-02-24,134.5,120.0,134.5,130.0,654.0,130.0
2010-02-25,129.5,125.0,125.5,129.5,296.0,129.5
2010-02-26,135.0,125.0,125.5,134.0,664.0,134.0
2010-03-01,144.0,125.5,144.0,135.0,166.0,135.0
2010-03-02,135.0,130.0,135.0,135.0,268.0,135.0
2010-03-03,135.0,130.5,130.5,130.5,510.0,130.5
2010-03-04,132.5,127.5,129.0,132.5,552.0,132.5
2010-03-05,132.5,127.5,128.5,132.5,118.0,132.5
2010-03-08,134.5,125.0,134.5,129.5,192.0,129.5
2010-03-09,132.5,126.0,130.0,127.5,304.0,127.5
2010-03-10,127.0,122.5,125.0,125.0,326.0,125.0
2010-03-11,127.5,122.5,125.5,125.0,742.0,125.0
2010-03-12,130.0,125.0,127.5,127.5,432.0,127.5
2010-03-15,127.5,123.0,123.5,127.5,530.0,127.5
2010-03-16,127.5,123.0,123.0,127.5,320.0,127.5
2010-03-17,130.0,119.5,119.5,127.5,252.0,127.5
2010-03-18,127.5,125.0,125.0,127.5,182.0,127.5
2010-03-19,130.0,119.5,119.5,129.5,316.0,129.5
2010-03-22,129.5,123.0,123.0,127.5,220.0,127.5
2010-03-23,127.5,123.0,127.5,127.5,596.0,127.5
2010-03-24,124.0,120.0,123.5,122.0,686.0,122.0
2010-03-25,127.5,120.0,120.0,127.5,428.0,127.5
2010-03-26,127.5,122.5,123.5,125.5,362.0,125.5
2010-03-29,127.5,120.0,125.5,125.0,148.0,125.0
2010-03-30,125.0,122.5,125.0,124.0,248.0,124.0
2010-03-31,127.5,122.5,124.0,125.5,328.0,125.5
2010-04-01,122.5,112.5,122.5,117.0,1124.0,117.0
2010-04-05,125.0,113.0,114.0,121.5,602.0,121.5
2010-04-06,121.5,116.0,121.5,119.0,746.0,119.0
2010-04-07,119.5,114.0,115.0,115.5,622.0,115.5
2010-04-08,125.0,114.0,114.5,124.0,484.0,124.0
2010-04-09,125.0,120.0,122.5,125.0,238.0,125.0
2010-04-12,132.5,120.0,122.0,130.0,984.0,130.0
2010-04-13,130.0,115.5,130.0,129.0,688.0,129.0
2010-04-14,127.5,125.5,125.5,127.5,1398.0,127.5
2010-04-15,140.0,125.0,125.5,137.5,1056.0,137.5
2010-04-16,140.0,135.0,137.5,140.0,600.0,140.0
2010-04-19,140.0,128.5,135.0,140.0,1614.0,140.0
2010-04-20,142.5,130.0,142.5,134.5,676.0,134.5
2010-04-21,135.0,130.5,132.5,130.5,322.0,130.5
2010-04-22,135.0,131.5,135.0,132.5,336.0,132.5
2010-04-23,140.0,129.0,130.5,138.0,998.0,138.0
2010-04-26,139.0,133.0,133.0,135.5,334.0,135.5
2010-04-27,138.0,133.0,137.5,133.0,750.0,133.0
2010-04-28,135.0,129.0,132.5,132.5,1164.0,132.5
2010-04-29,135.0,130.0,135.0,133.0,320.0,133.0
2010-04-30,135.0,130.0,135.0,132.0,572.0,132.0
2010-05-03,132.5,125.5,130.0,132.5,604.0,132.5
2010-05-04,132.0,125.5,130.0,126.0,208.0,126.0
2010-05-05,130.0,125.0,126.0,130.0,244.0,130.0
2010-05-06,125.0,114.0,123.0,119.5,856.0,119.5
2010-05-07,120.0,112.5,120.0,112.5,596.0,112.5
2010-05-10,125.5,113.0,115.0,125.5,468.0,125.5
2010-05-11,125.0,115.0,125.0,124.0,298.0,124.0
2010-05-12,134.5,115.0,134.5,120.0,626.0,120.0
2010-05-13,125.0,119.5,120.0,122.5,318.0,122.5
2010-05-14,120.0,115.0,119.5,115.0,440.0,115.0
2010-05-17,122.5,115.0,115.0,122.5,120.0,122.5
2010-05-18,122.0,112.5,122.0,120.0,334.0,120.0
2010-05-19,125.0,110.5,110.5,122.5,1106.0,122.5
2010-05-20,124.0,112.5,124.0,112.5,868.0,112.5
2010-05-21,117.5,109.5,110.0,109.5,948.0,109.5
2010-05-24,120.0,100.0,103.0,120.0,372.0,120.0
2010-05-25,117.5,112.5,117.5,115.0,110.0,115.0
2010-05-26,125.0,117.5,120.0,122.5,1470.0,122.5
2010-05-27,124.5,112.5,124.5,115.0,824.0,115.0
2010-05-28,125.0,112.5,125.0,117.5,632.0,117.5
2010-06-01,122.5,115.0,120.0,115.0,550.0,115.0
2010-06-02,118.0,112.5,115.0,115.0,582.0,115.0
2010-06-03,117.5,111.5,115.0,117.5,284.0,117.5
2010-06-04,115.0,112.5,112.5,114.5,36.0,114.5
2010-06-07,119.5,114.5,116.0,119.5,372.0,119.5
2010-06-08,119.5,112.5,119.5,119.5,214.0,119.5
2010-06-09,119.5,111.5,119.5,115.0,662.0,115.0
2010-06-10,132.0,112.5,117.5,122.5,1474.0,122.5
2010-06-11,122.5,113.0,113.0,122.5,590.0,122.5
2010-06-14,123.0,117.5,122.5,123.0,328.0,123.0
2010-06-15,125.0,117.5,117.5,122.5,712.0,122.5
2010-06-16,122.5,115.0,118.0,122.5,434.0,122.5
2010-06-17,122.5,117.5,122.5,117.5,346.0,117.5
2010-06-18,117.5,115.0,117.5,117.5,250.0,117.5
2010-06-21,122.5,115.0,120.0,121.5,478.0,121.5
2010-06-22,120.0,107.0,120.0,112.0,1000.0,112.0
2010-06-23,120.0,108.0,111.5,117.5,750.0,117.5
2010-06-24,120.0,108.0,117.5,108.0,762.0,108.0
2010-06-25,117.5,105.5,108.0,106.5,680.0,106.5
2010-06-28,110.0,102.5,105.0,110.0,388.0,110.0
2010-06-29,105.0,102.5,105.0,102.5,412.0,102.5
2010-06-30,101.5,95.0,100.0,98.0,698.0,98.0
2010-07-01,109.5,95.0,97.5,102.5,804.0,102.5
2010-07-02,100.0,92.5,100.0,100.0,216.0,100.0
2010-07-06,100.0,90.0,94.0,100.0,174.0,100.0
2010-07-07,95.0,91.0,95.0,95.0,174.0,95.0
2010-07-08,94.0,90.0,94.0,94.0,92.0,94.0
2010-07-09,97.5,90.0,94.5,95.0,276.0,95.0
2010-07-12,95.0,90.0,90.0,95.0,244.0,95.0
2010-07-13,97.5,87.5,95.0,95.0,4206.0,95.0
2010-07-14,95.0,91.0,95.0,95.0,1108.0,95.0
2010-07-15,112.5,95.0,95.0,105.0,1140.0,105.0
2010-07-16,107.5,100.0,102.5,107.5,394.0,107.5
2010-07-19,110.0,95.0,105.0,104.5,334.0,104.5
2010-07-20,115.0,92.5,115.0,100.0,516.0,100.0
2010-07-21,100.0,92.5,100.0,100.0,180.0,100.0
2010-07-22,98.0,92.5,97.5,95.0,476.0,95.0
2010-07-23,95.0,90.0,95.0,92.5,342.0,92.5
2010-07-26,100.0,87.5,100.0,92.5,388.0,92.5
2010-07-27,100.0,90.0,100.0,90.0,410.0,90.0
2010-07-28,95.0,89.5,90.0,92.5,1166.0,92.5
2010-07-29,97.5,92.5,95.0,97.5,1018.0,97.5
2010-07-30,97.5,95.0,95.0,97.5,438.0,97.5
2010-08-02,100.0,95.0,98.5,99.0,1282.0,99.0
2010-08-03,100.0,97.5,99.0,100.0,1240.0,100.0
2010-08-04,105.0,100.0,105.0,105.0,648.0,105.0
2010-08-05,104.5,102.5,102.5,104.5,150.0,104.5
2010-08-06,105.0,100.0,100.0,105.0,88.0,105.0
2010-08-09,112.5,100.0,105.0,105.0,422.0,105.0
2010-08-10,105.0,97.5,105.0,102.5,504.0,102.5
2010-08-11,100.0,95.0,97.5,100.0,254.0,100.0
